timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1693325472317,1374,/-212,200,OK,,text,true,,223531,1233,0,0,https://qa-travel.travel-loyalty.com/,514,0,264
0,0,qa-travel.travel-loyalty.com:443,,"Connection reset
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1424,0,0,0,null,0,0,0
0,0,www.googletagmanager.com:443,,"Received fatal alert: unknown_ca
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1281,0,0,0,null,0,0,0
0,0,www.googletagmanager.com:443,,"Received fatal alert: unknown_ca
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1281,0,0,0,null,0,0,0
0,0,fonts.gstatic.com:443,,"Connection reset
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1424,0,0,0,null,0,0,0
0,0,www.googletagmanager.com:443,,"Received fatal alert: unknown_ca
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1281,0,0,0,null,0,0,0
1693325473945,249,/canonical.html-213,200,OK,,text,true,,317,298,0,0,http://detectportal.firefox.com/canonical.html,249,0,171
0,0,accounts.google.com:443,,"Received fatal alert: unknown_ca
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1281,0,0,0,null,0,0,0
1693325474239,155,/success.txt-215,200,OK,,text,true,,235,300,0,0,http://detectportal.firefox.com/success.txt?ipv6,155,0,67
1693325474239,199,/success.txt-214,200,OK,,text,true,,235,300,0,0,http://detectportal.firefox.com/success.txt?ipv4,199,0,93
0,0,accounts.google.com:443,,"Received fatal alert: unknown_ca
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1281,0,0,0,null,0,0,0
0,0,maps.googleapis.com:443,,"Received fatal alert: unknown_ca
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1281,0,0,0,null,0,0,0
0,0,www.googletagmanager.com:443,,"Received fatal alert: unknown_ca
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1281,0,0,0,null,0,0,0
0,0,accounts.google.com:443,,"Remote host terminated the handshake
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1408,0,0,0,null,0,0,0
1693325474477,114,/canonical.html-216,200,OK,,text,true,,317,298,0,0,http://detectportal.firefox.com/canonical.html,114,0,52
0,0,accounts.google.com:443,,"An established connection was aborted by the software in your host machine
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1482,0,0,0,null,0,0,0
1693325474635,109,/success.txt-217,200,OK,,text,true,,235,300,0,0,http://detectportal.firefox.com/success.txt?ipv4,109,0,45
0,0,accounts.google.com:443,,"Received fatal alert: unknown_ca
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1281,0,0,0,null,0,0,0
1693325474635,145,/success.txt-218,200,OK,,text,true,,235,300,0,0,http://detectportal.firefox.com/success.txt?ipv6,145,0,52
0,0,accounts.google.com:443,,"Received fatal alert: unknown_ca
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1281,0,0,0,null,0,0,0
1693325474819,109,/canonical.html-219,200,OK,,text,true,,317,298,0,0,http://detectportal.firefox.com/canonical.html,109,0,45
0,0,accounts.google.com:443,,"Received fatal alert: unknown_ca
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1281,0,0,0,null,0,0,0
0,0,accounts.google.com:443,,"Received fatal alert: unknown_ca
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1281,0,0,0,null,0,0,0
0,0,accounts.google.com:443,,"Received fatal alert: unknown_ca
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1281,0,0,0,null,0,0,0
1693325475000,145,/success.txt-221,200,OK,,text,true,,235,300,0,0,http://detectportal.firefox.com/success.txt?ipv6,145,0,47
1693325474999,180,/success.txt-220,200,OK,,text,true,,235,300,0,0,http://detectportal.firefox.com/success.txt?ipv4,179,0,102
1693325475051,158,/canonical.html-222,200,OK,,text,true,,317,298,0,0,http://detectportal.firefox.com/canonical.html,158,0,92
1693325475266,173,/success.txt-224,200,OK,,text,true,,235,300,0,0,http://detectportal.firefox.com/success.txt?ipv6,173,0,79
1693325475266,173,/success.txt-223,200,OK,,text,true,,235,300,0,0,http://detectportal.firefox.com/success.txt?ipv4,173,0,79
1693325500620,1297,/index.php/general/index/hotels-225,200,OK,,text,true,,223511,1347,0,0,https://qa-travel.travel-loyalty.com/index.php/general/index/hotels?default_view=VHCID1420613748,526,0,282
0,0,www.googletagmanager.com:443,,"Received fatal alert: unknown_ca
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1281,0,0,0,null,0,0,0
0,0,fonts.gstatic.com:443,,"An established connection was aborted by the software in your host machine
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,2309,0,0,0,null,0,0,0
0,0,www.googletagmanager.com:443,,"Received fatal alert: unknown_ca
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1281,0,0,0,null,0,0,0
1693325502219,123,/canonical.html-226,200,OK,,text,true,,317,298,0,0,http://detectportal.firefox.com/canonical.html,122,0,59
0,0,www.googletagmanager.com:443,,"Received fatal alert: unknown_ca
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1281,0,0,0,null,0,0,0
1693325502375,130,/success.txt-227,200,OK,,text,true,,235,300,0,0,http://detectportal.firefox.com/success.txt?ipv4,130,0,57
1693325502381,200,/success.txt-228,200,OK,,text,true,,235,300,0,0,http://detectportal.firefox.com/success.txt?ipv6,200,0,94
0,0,maps.googleapis.com:443,,"Received fatal alert: unknown_ca
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1281,0,0,0,null,0,0,0
0,0,accounts.google.com:443,,"Received fatal alert: unknown_ca
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1281,0,0,0,null,0,0,0
1693325502607,154,/canonical.html-229,200,OK,,text,true,,317,298,0,0,http://detectportal.firefox.com/canonical.html,153,0,69
0,0,qa-travel.travel-loyalty.com:443,,"Remote host terminated the handshake
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1408,0,0,0,null,0,0,0
0,0,accounts.google.com:443,,"Received fatal alert: unknown_ca
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1281,0,0,0,null,0,0,0
0,0,www.googletagmanager.com:443,,"Received fatal alert: unknown_ca
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1281,0,0,0,null,0,0,0
0,0,accounts.google.com:443,,"Remote host terminated the handshake
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1408,0,0,0,null,0,0,0
0,0,accounts.google.com:443,,"Remote host terminated the handshake
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1408,0,0,0,null,0,0,0
1693325502831,136,/canonical.html-232,200,OK,,text,true,,317,298,0,0,http://detectportal.firefox.com/canonical.html,136,0,58
1693325502788,199,/success.txt-230,200,OK,,text,true,,235,300,0,0,http://detectportal.firefox.com/success.txt?ipv6,199,0,101
1693325502788,224,/success.txt-231,200,OK,,text,true,,235,300,0,0,http://detectportal.firefox.com/success.txt?ipv4,224,0,112
1693325503006,132,/success.txt-234,200,OK,,text,true,,235,300,0,0,http://detectportal.firefox.com/success.txt?ipv4,132,0,57
1693325503004,134,/success.txt-233,200,OK,,text,true,,235,300,0,0,http://detectportal.firefox.com/success.txt?ipv6,134,0,60
0,0,accounts.google.com:443,,"Received fatal alert: unknown_ca
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1281,0,0,0,null,0,0,0
0,0,accounts.google.com:443,,"Received fatal alert: unknown_ca
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1281,0,0,0,null,0,0,0
1693325503198,195,/canonical.html-235,200,OK,,text,true,,317,298,0,0,http://detectportal.firefox.com/canonical.html,195,0,103
0,0,accounts.google.com:443,,"Received fatal alert: unknown_ca
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1281,0,0,0,null,0,0,0
0,0,accounts.google.com:443,,"Received fatal alert: unknown_ca
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1281,0,0,0,null,0,0,0
0,0,accounts.google.com:443,,"Received fatal alert: unknown_ca
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1281,0,0,0,null,0,0,0
1693325503437,148,/success.txt-237,200,OK,,text,true,,235,300,0,0,http://detectportal.firefox.com/success.txt?ipv6,148,0,64
1693325503443,142,/canonical.html-238,200,OK,,text,true,,317,298,0,0,http://detectportal.firefox.com/canonical.html,142,0,58
1693325503437,148,/success.txt-236,200,OK,,text,true,,235,300,0,0,http://detectportal.firefox.com/success.txt?ipv4,148,0,64
1693325503593,107,/success.txt-240,200,OK,,text,true,,235,300,0,0,http://detectportal.firefox.com/success.txt?ipv4,107,0,54
