timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
0,0,www.google-analytics.com:443,,"Received fatal alert: unknown_ca
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1281,0,0,0,null,0,0,0
1693324943492,175,/canonical.html-85,200,OK,,text,true,,317,298,0,0,http://detectportal.firefox.com/canonical.html,175,0,97
1693324943677,113,/success.txt-86,200,OK,,text,true,,235,300,0,0,http://detectportal.firefox.com/success.txt?ipv4,112,0,46
1693324943682,107,/success.txt-87,200,OK,,text,true,,235,300,0,0,http://detectportal.firefox.com/success.txt?ipv6,107,0,51
1693324949090,1195,/-88,200,OK,,text,true,,223525,1233,0,0,https://qa-travel.travel-loyalty.com/,503,0,239
0,0,accounts.google.com:443,,"Received fatal alert: unknown_ca
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1281,0,0,0,null,0,0,0
0,0,accounts.google.com:443,,"Remote host terminated the handshake
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1408,0,0,0,null,0,0,0
0,0,maps.googleapis.com:443,,"Received fatal alert: unknown_ca
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1281,0,0,0,null,0,0,0
0,0,accounts.google.com:443,,"Remote host terminated the handshake
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1408,0,0,0,null,0,0,0
0,0,accounts.google.com:443,,"Remote host terminated the handshake
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1408,0,0,0,null,0,0,0
1693324950992,209,/canonical.html-89,200,OK,,text,true,,317,298,0,0,http://detectportal.firefox.com/canonical.html,209,0,115
0,0,accounts.google.com:443,,"Received fatal alert: unknown_ca
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1281,0,0,0,null,0,0,0
0,0,accounts.google.com:443,,"Received fatal alert: unknown_ca
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1281,0,0,0,null,0,0,0
1693324951228,162,/success.txt-90,200,OK,,text,true,,235,300,0,0,http://detectportal.firefox.com/success.txt?ipv6,162,0,79
1693324951228,198,/success.txt-91,200,OK,,text,true,,235,300,0,0,http://detectportal.firefox.com/success.txt?ipv4,198,0,113
1693324951284,184,/canonical.html-92,200,OK,,text,true,,317,298,0,0,http://detectportal.firefox.com/canonical.html,184,0,79
0,0,accounts.google.com:443,,"Received fatal alert: unknown_ca
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1281,0,0,0,null,0,0,0
0,0,accounts.google.com:443,,"Received fatal alert: unknown_ca
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1281,0,0,0,null,0,0,0
0,0,accounts.google.com:443,,"Received fatal alert: unknown_ca
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1281,0,0,0,null,0,0,0
1693324951500,109,/success.txt-94,200,OK,,text,true,,235,300,0,0,http://detectportal.firefox.com/success.txt?ipv4,109,0,46
1693324951500,125,/success.txt-93,200,OK,,text,true,,235,300,0,0,http://detectportal.firefox.com/success.txt?ipv6,125,0,49
1693324951548,117,/canonical.html-95,200,OK,,text,true,,317,298,0,0,http://detectportal.firefox.com/canonical.html,117,0,65
1693324951669,108,/success.txt-96,200,OK,,text,true,,235,300,0,0,http://detectportal.firefox.com/success.txt?ipv4,107,0,48
1693324951669,108,/success.txt-97,200,OK,,text,true,,235,300,0,0,http://detectportal.firefox.com/success.txt?ipv6,108,0,48
0,0,www.google-analytics.com:443,,"Received fatal alert: unknown_ca
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1281,0,0,0,null,0,0,0
1693324957018,101,/canonical.html-98,200,OK,,text,true,,317,298,0,0,http://detectportal.firefox.com/canonical.html,101,0,47
1693324957148,115,/success.txt-100,200,OK,,text,true,,235,300,0,0,http://detectportal.firefox.com/success.txt?ipv6,115,0,40
1693324957146,117,/success.txt-99,200,OK,,text,true,,235,300,0,0,http://detectportal.firefox.com/success.txt?ipv4,117,0,42
1693324963801,1156,/index.php/general/index/hotels-101,200,OK,,text,true,,223505,1347,0,0,https://qa-travel.travel-loyalty.com/index.php/general/index/hotels?default_view=VHCID1420613748,552,0,287
0,0,fonts.gstatic.com:443,,"An established connection was aborted by the software in your host machine
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1482,0,0,0,null,0,0,0
0,0,accounts.google.com:443,,"Received fatal alert: unknown_ca
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1281,0,0,0,null,0,0,0
0,0,accounts.google.com:443,,"Received fatal alert: unknown_ca
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1281,0,0,0,null,0,0,0
0,0,maps.googleapis.com:443,,"Received fatal alert: unknown_ca
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1281,0,0,0,null,0,0,0
1693324965652,145,/canonical.html-102,200,OK,,text,true,,317,298,0,0,http://detectportal.firefox.com/canonical.html,145,0,69
0,0,www.google-analytics.com:443,,"Received fatal alert: unknown_ca
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1281,0,0,0,null,0,0,0
0,0,accounts.google.com:443,,"Remote host terminated the handshake
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1408,0,0,0,null,0,0,0
0,0,accounts.google.com:443,,"An established connection was aborted by the software in your host machine
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1482,0,0,0,null,0,0,0
1693324965901,112,/canonical.html-105,200,OK,,text,true,,317,298,0,0,http://detectportal.firefox.com/canonical.html,112,0,49
1693324965898,124,/success.txt-103,200,OK,,text,true,,235,300,0,0,http://detectportal.firefox.com/success.txt?ipv4,124,0,52
1693324965901,143,/success.txt-104,200,OK,,text,true,,235,300,0,0,http://detectportal.firefox.com/success.txt?ipv6,142,0,49
0,0,accounts.google.com:443,,"Received fatal alert: unknown_ca
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1281,0,0,0,null,0,0,0
0,0,accounts.google.com:443,,"Received fatal alert: unknown_ca
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1281,0,0,0,null,0,0,0
1693324966037,114,/success.txt-106,200,OK,,text,true,,235,300,0,0,http://detectportal.firefox.com/success.txt?ipv6,113,0,57
1693324966037,190,/success.txt-107,200,OK,,text,true,,235,300,0,0,http://detectportal.firefox.com/success.txt?ipv4,189,0,82
1693324966097,145,/canonical.html-108,200,OK,,text,true,,317,298,0,0,http://detectportal.firefox.com/canonical.html,145,0,68
0,0,accounts.google.com:443,,"Received fatal alert: unknown_ca
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1281,0,0,0,null,0,0,0
0,0,accounts.google.com:443,,"Received fatal alert: unknown_ca
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1281,0,0,0,null,0,0,0
0,0,accounts.google.com:443,,"Received fatal alert: unknown_ca
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1281,0,0,0,null,0,0,0
